id,nome,logo,local,categoria,taxa,minimo
55e01201-f1e7-4582-8b52-696eeab28d1d,Loucos Por Coxinha Via Direta,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/55e01201-f1e7-4582-8b52-696eeab28d1d/202107301915_10ZK_i.jpg,natal-rn,Lanches,7.49,20.0
1802525f-0580-4707-91ea-5e35b544416a,Loucos Por Coxinha Cidade Jardim,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/1802525f-0580-4707-91ea-5e35b544416a/202107302024_1eyx_i.jpg,natal-rn,Lanches,7.49,20.0
d2088a00-c6d1-409d-ae6d-d154a461867b,A Parmegiaria,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/d2088a00-c6d1-409d-ae6d-d154a461867b/202107311926_Kt7C_i.png,natal-rn,Italiana,16.0,10.0
54597bb5-2906-44d7-8e86-8429284b1fc8,Estação Açaí & Fast Food,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/54597bb5-2906-44d7-8e86-8429284b1fc8/202004101049_xelD_i.png,natal-rn,Açaí,5.0,0.0
84448f54-31ea-4627-a3da-12f6af5dd460,Pagllia Doceria,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/84448f54-31ea-4627-a3da-12f6af5dd460/202106011511_BlFW_.jpeg,parnamirim-rn,Doces & Bolos,9.99,22.0
1a163e14-58a0-4052-99ac-8919cecce2ba,La Churreria Gourmet Satélite,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/1a163e14-58a0-4052-99ac-8919cecce2ba/202103111407_lL59_i.png,natal-rn,Doces & Bolos,0.0,18.0
b3c90077-e74b-4a61-88d1-2b3cfd8e5ac7,Black House Hamburgueria e Churrascaria,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/b3c90077-e74b-4a61-88d1-2b3cfd8e5ac7/201903261234_mrUB_0.jpg,natal-rn,Carnes,5.9,15.0
f500c047-599a-4f35-bec6-08308b6f5e37,Açaidaqui,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/f500c047-599a-4f35-bec6-08308b6f5e37/202105130009_3jWM_i.png,natal-rn,Açaí,8.49,10.0
258beb87-b539-452d-8eab-444c5647dfbf,Capital do Camarão,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/258beb87-b539-452d-8eab-444c5647dfbf/202107231202_h16L_i.jpg,natal-rn,Frutos Do Mar,0.0,40.0
ef781b08-a1e5-42a6-bc2e-10231d8b286a,Fritas Rn,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/ef781b08-a1e5-42a6-bc2e-10231d8b286a/202101271403_k8WB_.jpeg,parnamirim-rn,Lanches,12.99,19.0
5d176380-7d76-4cb2-865f-5dc4a680b310,Caramelo's Doceria,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/5d176380-7d76-4cb2-865f-5dc4a680b310/202104282208_5HYA_i.jpg,natal-rn,Doces & Bolos,10.0,10.0
30e741d6-17d4-489e-9814-87aad4b85dde,Ebana Burger,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/30e741d6-17d4-489e-9814-87aad4b85dde/202107091511_Q3ec_i.jpg,natal-rn,Lanches,0.0,30.0
12e3033c-0225-494e-9d3d-5235a12d9b88,Batata Brasil,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/201904271549_12e3033c-0225-494e-9d3d-5235a12d9b88.jpg,natal-rn,Brasileira,13.49,10.0
